 ,Restaurant,Number,DateNumber,Weight,Type,Note,Primary category,Single Ingredient?,Meat Y/N/U,Ingredients,Content 1,Content 2,Content 3,Content 4,Content 5,,,,,,,,,,,,
07/23/23,Miss Ada,255,07/23/2023255,16.6,Pre,,Mixed Streams,N,U,"vegetable prep, oily sauce",vegetable prep, oily sauce,,,,,,Med Generator,,,,,,,,,
07/23/23,Colonie,374,07/23/2023374,24.2,Mixed,,Mixed Streams,N,Y,"vegetable prep, raw red meat",vegetable prep, raw red meat,,,,,,High Generator,,,,,,,,,
07/23/23,#N/A,2215,07/23/20232215,12.6,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, corn husks",vegetable prep, corn husks,,,,,,#N/A,,,,,,,,,
07/23/23,Fausto,558,07/23/2023558,13.4,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, lettuces",vegetable prep, lettuces,,,,,,High Generator,,,,,,,,,
07/23/23,Bar Vinazo,1592,07/23/20231592,12.8,Post,,Plate Scrapings: Generic,N,U,plate scrapings,plate scrapings,,,,,,,High Generator,,,,,,,,,
07/23/23,Fausto,986,07/23/2023986,13.8,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, corn husks",vegetable prep, corn husks,,,,,,High Generator,,,,,,,,,
07/23/23,Rhodora,732,07/23/2023732,28.2,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, sauces, breads",plate scrapings, sauces, breads,,,,,Med Generator,,,,,,,,,
07/23/23,The Fly,567,07/23/2023567,25,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, fries, breads, sauces",plate scrapings, fries, breads, sauces,,,,Low Generator,,,,,,,,,
07/23/23,Roman's,592,07/23/2023592,29.6,Mixed,,Mixed Streams,N,U,"vegetable prep, bread, scrapings",vegetable prep, bread, scrapings,,,,,Low Generator,,,,,,,,,
07/23/23,Roman's,1911,07/23/20231911,29.4,Post,,Plate Scrapings: Generic,N,Y,"plate scrapings, chicken, bread",plate scrapings, chicken, bread,,,,,Low Generator,,,,,,,,,
07/23/23,The Fly,737,07/23/2023737,27.6,Post,,Plate Scrapings: Generic,N,Y,"plate scrapings, chicken, bread",plate scrapings, chicken, bread,,,,,Low Generator,,,,,,,,,
07/23/23,The Fly,356,07/23/2023356,,Post,,Plate Scrapings: Generic,N,Y,"plate scrapings, chicken, bread",plate scrapings, chicken, bread,,,,,Low Generator,,,,,,,,,
07/23/23,Diner,222,07/23/2023222,17.8,Pre,,Plate Scrapings: Generic,N,U,"bread, plate scrapings, sauce",bread, plate scrapings, sauce,,,,,High Generator,,,,,,,,,
07/23/23,Four Horsemen,851,07/23/2023851,21.6,Pre,,Mixed Streams,N,U,"vegetable prep, eggshells, sauce",vegetable prep, eggshells, sauce,,,,,High Generator,,,,,,,,,
07/23/23,Diner,2392,07/23/20232392,27.2,Mixed,,Plate Scrapings: Generic,N,U,"coffee grounds, plate scrapings, ",coffee grounds, plate scrapings, ,,,,,High Generator,,,,,,,,,
07/23/23,Miss Ada,2326,07/23/20232326,38,Post,,"Plate Scrapings: Pasta, Bread, Potato",N,U,"plate scrapings, breads, potato",plate scrapings, breads, potato,,,,,Med Generator,,,,,,,,,
07/23/23,Diner,2333,07/23/20232333,20.2,Pre,,Mixed Streams,N,N,"citrus orange, bread, vegetable prep",citrus orange, bread, vegetable prep,,,,,High Generator,,,,,,,,,
07/23/23,Roman's,597,07/23/2023597,30.2,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, pastas, veg",plate scrapings, pastas, veg,,,,,Low Generator,,,,,,,,,
07/23/23,Margot,395,07/23/2023395,31.6,,,Mixed Streams,N,Y,"vegetable prep, raw red meat",vegetable prep, raw red meat,,,,,,Med Generator,,,,,,,,,
07/23/23,Marlow & Daughters,1043,07/23/20231043,24.4,Meat,,Red Meat Discard,Y,Y,raw red meat ,raw red meat ,,,,,,,Med Generator,,,,,,,,,
07/23/23,Diner,1450,07/23/20231450,24.4,Pre,,Mixed Streams,N,U,"vegetable prep, corn cobs, eggshells",vegetable prep, corn cobs, eggshells,,,,,High Generator,,,,,,,,,
07/23/23,Margot,618,07/23/2023618,23.8,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable prep, tomatos",vegetable prep, tomatos,,,,,,Med Generator,,,,,,,,,
07/23/23,Roman's,2008,07/23/20232008,28.6,Mixed,,Mixed Streams,N,Y,"vegetable prep, cooked chicken discard",vegetable prep, cooked chicken discard,,,,,,Low Generator,,,,,,,,,
07/23/23,Four Horsemen,1345,07/23/20231345,20.4,Pre,,"Vegetable: Stalks, Ends",Y,N,"vegetable prep, lettuces",vegetable prep, lettuces,,,,,,High Generator,,,,,,,,,
07/23/23,#N/A,919,07/23/2023919,28.5,Meat,,Mixed Streams,N,Y,"raw red meat, cooked chicken ",raw red meat, cooked chicken ,,,,,,#N/A,,,,,,,,,
07/23/23,Diner,509,07/23/2023509,26.6,Post,,Mixed Streams,N,U,"plate scrapings, bread, citrus, shells",plate scrapings, bread, citrus, shells,,,,High Generator,,,,,,,,,
07/23/23,Four Horsemen,875,07/23/2023875,27.8,Post,,Plate Scrapings: Generic,N,U,"plate scrapings, ",plate scrapings, ,,,,,,High Generator,,,,,,,,,
07/23/23,Diner,168,07/23/2023168,25.8,Pre,,Mixed Streams,N,U,"coffee grounds, food prep, doughs",coffee grounds, food prep, doughs,,,,,High Generator,,,,,,,,,
07/23/23,Diner,774,07/23/2023774,12.8,Pre,,Citrus Peels / Skins,Y,N,citrus lemons,citrus lemons,,,,,,,High Generator,,,,,,,,,
07/23/23,Dawn's UNTIL DUSK,1199,07/23/20231199,30.4,Pre,,Mixed Streams,N,N,"coffee grounds, breads",coffee grounds, breads,,,,,,High Generator,,,,,,,,,
07/23/23,Diner,213,07/23/2023213,22.8,Mixed,,Mixed Streams,N,Y,"plate scrapings, vegetable prep, meat",plate scrapings, vegetable prep, meat,,,,,High Generator,,,,,,,,,
07/23/23,#N/A,25,07/23/202325,10.8,Pre,,Vegetable Scrap: Generic,Y,N,"vegetable prep, tomatillo skins ",vegetable prep, tomatillo skins ,,,,,,#N/A,,,,,,,,,
07/23/23,Gran Electrica,2100,07/23/20232100,17.8,Pre,,Fruit Byproduct,Y,N,"pineapple tops, avocado ",pineapple tops, avocado ,,,,,,Med Generator,,,,,,,,,
07/23/23,Diner,1537,07/23/20231537,29.2,Mixed,,Plate Scrapings: Generic,N,U,"plate scrapings, corn cobs, eggshells, olives, veg",plate scrapings, corn cobs, eggshells, olives, veg,,,High Generator,,,,,,,,,
07/23/23,Gran Electrica,1102,07/23/20231102,21.6,Pre,,Citrus Peels / Skins,Y,N,"citrus peels, grapefruit, lemons ",citrus peels, grapefruit, lemons ,,,,,Med Generator,,,,,,,,,
07/23/23,Gran Electrica,923,07/23/2023923,14.2,Pre,,"Vegetable: Stalks, Ends",Y,N,cabbage skins,cabbage skins,,,,,,,Med Generator,,,,,,,,,
07/23/23,Gran Electrica,177,07/23/2023177,25.4,Pre,,Citrus Peels / Skins,Y,N,"citrus peels, lime, avocado skins",citrus peels, lime, avocado skins,,,,,Med Generator,,,,,,,,,
07/23/23,#N/A,,07/23/2023,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
07/23/23,#N/A,,07/23/2023,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
07/23/23,#N/A,,07/23/2023,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
07/23/23,#N/A,,07/23/2023,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
07/23/23,#N/A,,07/23/2023,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,0.157782516,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
